cust_id,cust_name,cust_address,cust_gender,cust_phone,cust_email,cust_dob,cust_create_dt
6177,Dr Jay Law,"7 Diane unions, West Aaronmouth, S63 9DW",F,441915000000,phowarth@hotmail.com,29/04/1951,04/06/2022
6104,Ms Hazel Barlow,"8 Stephanie inlet, South Elizabeth, L34 7BD",M,442075000000,simondyer@yahoo.co.uk,22/11/1999,13/09/2018
3404,Alice Lynch,"Flat 6, Bennett row, New Leanne, SA6 3QL",f,441215000000,stodd@davies.co.uk,22/10/1978,20/06/2019
5506,Dr Shirley Baldwin,"Studio 2, Mark extensions, Barkerfurt, B8 4UZ",F,441185000000,ronald41@hotmail.com,07/01/1955,09/04/2021
7241,Antony Howard,"Studio 2, Jemma lodge, Donnahaven, L4J 0WY",m,1632960322,mdyer@hotmail.com,18/05/2005,14/07/2021
7609,Bryan Franklin,"Studio 32O, Coleman river, Lake Annette, WR4 5FG",f,441633000000,tcampbell@george.net,24/01/1993,29/08/2021
1222,Dr Callum Harrison,"8 Thompson port, West Hazelport, B65 2LP",m,441915000000,wallacekevin@whittaker.com,05/11/1968,29/01/2023
5577,Miss Josephine Blake,"Studio 8, Brown greens, Jamesshire, N7B 4AA",m,1214960979,qjames@smith.com,19/09/1953,14/08/2020
6138,Julie Chandler,"7 Lee overpass, North Josh, NG7M 6XS",M,442075000000,bennettirene@brown.net,22/03/1972,10/04/2020
3525,Craig Williams,"076 Bradshaw brooks, Lawsonside, WA99 6FE",F,1154960388,carrolljoshua@harding.com,11/07/1977,23/03/2019
2582,Frank Miller,"Studio 89, Lewis views, Lake Wayneton, DE89 6HB",F,1414960867,barryowen@roberts.biz,09/09/2005,09/03/2019
2158,Roger Walker-Williams,"Studio 35, Carly burg, Waltersberg, B6F 1SB",F,1154960360,,11/04/2002,16/01/2023
7067,Joyce Parsons,"Flat 87Z, Scott mountain, Greentown, ML8 7ZX",f,441633000000,ydennis@gmail.com,27/05/1993,10/07/2021
4862,Dorothy Smith,"1 Johnson grove, Spencermouth, L58 1LH",f,441915000000,  stanley32@outlook.com  ,13/10/2007,10/05/2019
1819,Gemma Miller,"Studio 65D, Hussain cliffs, North Victor, DL85 2PL",m,441185000000,gavinanderson@wheeler-hall.com,03/08/1978,30/04/2020
2434,Shaun Patel,"Flat 1, Alexander plains, Melissamouth, W74 4SS",f,029 2018412,jperry@hancock-hughes.com,13/08/1956,16/06/2021
1694,Dr Edward Davies,"Flat 6, Jordan highway, Lake Nigel, WF5 6UW",f,441165000000,,24/05/2003,21/12/2020
6436,Mitchell Wade,"548 Carole cliffs, East Brian, NG5W 6LG",M,443070000000,tbrown@hotmail.co.uk,10/04/1973,06/01/2019
6293,Lewis Gordon-Mason,"98 Kayleigh mountain, Brownmouth, G19 9GT",F,441633000000,kfraser@gmail.com,27/07/1983,31/05/2021
6063,Miss Lynne Kelly,"2 Ball forks, Garryberg, E1 2EH",M,1164960767,yjames@hotmail.co.uk,12/02/1995,30/05/2020
3385,Timothy Jones,"95 Carol rapids, Lanemouth, CB1 1NN",m,440292000000,uhussain@singh-smith.com,18/03/1996,31/08/2019
6416,Dr Debra Jones,"923 Smith isle, Port Rachaelview, PE5Y 0ST",M,442920000000,damiencarr@yahoo.com,20/06/1970,13/10/2020
1848,Jake Taylor,"5 Law square, New Margaretside, IM5V 3JF",m,1614960611,marilynthompson@outlook.com,21/08/1977,12/06/2022
4780,Dr Marcus Wong,"8 Elizabeth passage, Port Reeceside, BR5P 2AQ",M,2074960314,keith32@begum.org,17/10/1970,09/05/2021
1363,Brian Barton,"Studio 2, Leanne lodge, Fosterland, CA1E 5PZ",m,448082000000,fmills@outlook.com,31/03/1990,14/12/2019
4283,Susan Lord,"Studio 24F, Caroline crest, East Charles, CA4E 8TA",M,441215000000,ricky14@gmail.com,05/01/2002,15/07/2022
6159,Lindsey Hall,"Flat 16, Owen junctions, Griffithston, B0 1QD",f,441175000000,rachaelsykes@hotmail.co.uk,16/12/1969,20/10/2020
2034,Callum Patel,"5 Marion view, Barrettbury, G3S 6JG",M,1614960344,,15/01/1954,08/03/2023
1159,Annette Brown,"591 Hart brooks, West Debraview, L1 0JD",M,1174960419,,23/05/1970,27/07/2019
6706,Kate Daly-Martin,"Studio 3, Danny view, Robertsmouth, IP6 3XH",M,441215000000,zdodd@jones.com,12/03/1987,18/02/2018
6120,Dr Maurice Walker,"381 Smith drives, Lake Cameronstad, EH1 3XJ",M,441915000000,stephanie92@gregory-smith.com,25/02/1965,29/06/2020
