txn_date,txn_id,acc_num,txn_type,txn_code,amnt,bal
01/01/2024 00:00,4M8IWY,7843107,debit,12,19.2,1846.06
01/01/2024 00:04,VEDHR3,6015795,debit,12,15.42,4836.58
01/01/2024 00:05,9T5FOV,5510841,debit,17,21.61,3300.25
01/01/2024 00:06,XFU43K,9694503,debit,13,21.44,4044.35
01/01/2024 00:07,1M6M5K,6004922,debit,12,11.59,4247.24
01/01/2024 00:08,O06BEN,4206518,debit,11,4.55,3542.11
01/01/2024 00:08,7T0RMC,2401441,credit,10,21.7,4969.32
01/01/2024 00:11,A25OE3,7268335,credit,12,71.18,71.18
01/01/2024 00:12,Z0AQJ9,5841480,debit,10,12.02,4141.64
01/01/2024 00:14,56AQYC,7595502,debit,13,19.13,1661.52
01/01/2024 00:16,1P5JRF,2801277,credit,13,103.12,103.12
01/01/2024 00:17,1M5CRZ,2499248,credit,12,26.61,26.61
01/01/2024 00:18,GYIPQV,3456752,credit,15,39.67,39.67
01/01/2024 00:19,525R6A,5937156,debit,14,7.61,1967.38
01/01/2024 00:20,J5UH12,7914174,debit,15,22.73,3595.94
01/01/2024 00:20,X1L7VQ,2361498,debit,17,74.66,4157.74
01/01/2024 00:22,94WFCB,3138061,credit,11,4.15,4.15
01/01/2024 00:23,FF0TUQ,7096044,debit,17,18.1,3180.87
01/01/2024 00:26,1FGPML,9274724,debit,16,11.61,2710.98
01/01/2024 00:26,J0I1V5,2083231,debit,10,20.86,3150.33
01/01/2024 00:27,7PT0RK,5452353,debit,15,42.73,4060.02
01/01/2024 00:27,BASUZB,6930587,credit,12,10.95,379.7
01/01/2024 00:28,0FH28I,5663414,credit,13,46.95,46.95
01/01/2024 00:30,G29UBM,2382409,credit,13,10.19,3293.87
01/01/2024 00:32,40DH2K,6212431,debit,11,16.8,2895.75
01/01/2024 00:32,SCKZDO,9118323,credit,15,13.44,13.44
01/01/2024 00:32,3LU2XM,3486001,credit,15,9.57,9.57
01/01/2024 00:32,BZ9YJN,3145220,debit,13,9.96,1389.31
01/01/2024 00:38,3EG1XK,8621612,debit,13,40.31,2093.51
01/01/2024 00:41,4Y8MWF,8153293,debit,16,6.75,2634.68
01/01/2024 00:44,AQKMQ4,5357165,debit,10,73.43,4742.81
01/01/2024 00:45,UANW05,6300310,debit,16,14.67,3847.04
01/01/2024 00:49,1IRV7C,8682046,credit,15,4.51,2868.02
01/01/2024 00:52,0T3QGP,5917440,debit,11,362.16,1920.15
01/01/2024 00:55,HZSIYR,5642572,credit,13,8.17,1500.39
01/01/2024 00:56,JPR74X,1720253,debit,16,11.75,56576.17
01/01/2024 01:00,64YZ4D,4749444,credit,12,10.26,1243.4
01/01/2024 01:02,JCGHDO,8621612,debit,12,29.11,2064.4
01/01/2024 01:05,86A0VR,4819814,debit,16,10.61,3749.44
01/01/2024 01:07,5XIXD0,8245446,debit,10,31.2,4733.82
01/01/2024 01:11,ZRLJ7Q,9360400,credit,10,13.28,4348.18
01/01/2024 01:18,RZR9ME,5422288,debit,16,14.28,2087.53
01/01/2024 01:20,MTQ0S7,1969447,credit,12,33.55,33.55
01/01/2024 01:20,0ECJMZ,4710023,debit,16,13.28,1799.71
01/01/2024 01:26,DJA4PK,4106769,credit,14,80.66,1097.34
01/01/2024 01:31,XY2NZ5,2481557,credit,10,18.31,18.31
01/01/2024 01:32,ODW9JQ,5248379,debit,17,16.1,1325.88
